"Región,""PA"",""Nombre"",""Provincia"",""Distrito"",""Corregimiento"",""01/07"",""02/07"",""03/07"",""04/07"",""05/07"",""06/07"",""07/07"",""08/07"",""09/07"",""10/07"",""11/07"",""12/07"",""13/07"",""14/07"",""15/07"",""16/07"",""17/07"",""18/07"",""19/07"",""20/07"",""21/07"",""22/07"",""23/07"",""24/07"",""25/07"",""26/07"",""27/07"",""28/07"",""29/07"",""30/07"",""31/07"""
"1,""221"",""Esc. Las Cañas."",""Chiriquí"",""Dolega"",""Los Algarrobos"",""6"",""3"",""2"",""1"",""5"",""1"",""2"",""2"",""3"",""4"",""5"",""3"",""4"",""2"",""2"",""2"",""1"",""2"",""5"",""2"",""3"",""2"",""2"",""4"",""4"",""2"",""2"",""3"",""1"",""2"",""2"""
"1,""223"",""Esc. Los Bejucos"",""Chiriquí"",""Dolega"",""Los Algarrobos"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"1,""225"",""Centro de Salud Los Anastacios"",""Chiriquí"",""Dolega"",""Los Anastacios"",""0"",""0"",""4"",""2"",""2"",""4"",""5"",""1"",""1"",""4"",""5"",""7"",""5"",""3"",""1"",""1"",""5"",""4"",""7"",""6"",""5"",""2"",""1"",""5"",""5"",""7"",""4"",""7"",""2"",""1"",""7"""
"1,""226"",""Esc. Rincón Largo"",""Chiriquí"",""Dolega"",""Los Anastacios"",""2"",""6"",""1"",""2"",""1"",""1"",""0"",""0"",""8"",""0"",""1"",""1"",""0"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""2"",""1"",""0"",""0"",""1"",""1"",""2"",""0"",""1"",""2"",""3"""
"1,""227"",""Escuela Los Anastacios"",""Chiriquí"",""Dolega"",""Los Anastacios"",""3"",""3"",""2"",""2"",""1"",""1"",""2"",""3"",""3"",""3"",""2"",""1"",""1"",""2"",""4"",""1"",""1"",""1"",""1"",""1"",""2"",""2"",""8"",""1"",""2"",""3"",""2"",""3"",""3"",""1"",""1"""
"1,""228"",""Escuela Primaria Santa Rosa"",""Chiriquí"",""Dolega"",""Los Anastacios"",""0"",""0"",""1"",""1"",""2"",""3"",""3"",""2"",""1"",""2"",""2"",""2"",""1"",""1"",""4"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""0"",""0"",""1"",""2"",""1"",""1"",""3"",""0"",""1"""
"1,""230"",""Parque 27 de Noviembre"",""Chiriquí"",""Dolega"",""Los Anastacios"",""1"",""1"",""1"",""1"",""1"",""1"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""0"",""1"""
"1,""231"",""Parque Residencial Altamar"",""Chiriquí"",""Dolega"",""Los Anastacios"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""0"""
"1,""232"",""Plaza Los Algarrobos"",""Chiriquí"",""Dolega"",""Los Anastacios"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""3"",""1"""
"1,""233"",""Esc. Higuerón."",""Chiriquí"",""Gualaca"",""Gualaca"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""0"",""1"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""2"",""2"",""2"""
"1,""234"",""Municipio Gualaca"",""Chiriquí"",""Gualaca"",""Gualaca"",""0"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"""
"1,""235"",""Parque Gualaca"",""Chiriquí"",""Gualaca"",""Gualaca"",""4"",""4"",""4"",""4"",""6"",""4"",""6"",""3"",""3"",""6"",""4"",""5"",""4"",""7"",""4"",""6"",""3"",""4"",""5"",""5"",""4"",""2"",""4"",""6"",""5"",""6"",""8"",""7"",""6"",""7"",""7"""
"1,""236"",""Esc. Secundaria Jesús Maria Pla"",""Chiriquí"",""Gualaca"",""Gualaca"",""0"",""1"",""4"",""5"",""3"",""4"",""3"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""3"",""3"",""3"",""4"",""2"",""0"",""0"",""2"",""3"",""3"",""3"",""3"",""0"",""0"",""2"""
"1,""237"",""Esc. Antonio Anguizola"",""Chiriquí"",""Remedios"",""Remedios"",""3"",""4"",""5"",""3"",""2"",""4"",""2"",""3"",""3"",""3"",""3"",""5"",""4"",""5"",""4"",""3"",""2"",""4"",""4"",""5"",""5"",""5"",""5"",""4"",""3"",""5"",""5"",""4"",""6"",""4"",""6"""
"1,""238"",""Municipio de Remedios"",""Chiriquí"",""Remedios"",""Remedios"",""1"",""1"",""1"",""2"",""0"",""2"",""2"",""1"",""0"",""1"",""1"",""1"",""3"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""3"",""0"",""0"",""1"",""1"",""1"",""0"",""0"""
"1,""239"",""P.C. Arturo D. Motta"",""Chiriquí"",""Remedios"",""Remedios"",""8"",""8"",""4"",""8"",""6"",""6"",""13"",""5"",""6"",""4"",""7"",""7"",""5"",""4"",""5"",""6"",""8"",""11"",""4"",""0"",""6"",""4"",""4"",""5"",""7"",""7"",""6"",""11"",""6"",""7"",""8"""
"1,""240"",""Esc. Alto de Quiel"",""Chiriquí"",""Renacimiento"",""Cañas Gordas"",""1"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""7"",""0"",""1"",""0"",""1"",""1"",""2"",""2"",""1"",""0"",""0"",""0"",""0"",""1"",""2"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"""
"1,""241"",""Esc. Bajos de Chiriquí"",""Chiriquí"",""Renacimiento"",""Cañas Gordas"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""1"",""1"",""0"",""1"",""1"",""1"""
"1,""242"",""Esc. Qda. Las Vueltas"",""Chiriquí"",""Renacimiento"",""Cañas Gordas"",""0"",""0"",""1"",""0"",""1"",""0"",""1"",""0"",""0"",""3"",""1"",""3"",""3"",""2"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""3"",""1"",""1"",""1"",""1"",""2"",""1"",""2"""
"1,""243"",""Esc. Monte Lirio"",""Chiriquí"",""Renacimiento"",""Monte Lirio"",""0"",""2"",""2"",""2"",""1"",""1"",""0"",""0"",""2"",""2"",""2"",""2"",""2"",""2"",""0"",""0"",""0"",""0"",""1"",""1"",""2"",""1"",""3"",""2"",""2"",""3"",""1"",""3"",""1"",""1"",""2"""
"1,""244"",""Esc. San Antonio Abajo"",""Chiriquí"",""Renacimiento"",""Monte Lirio"",""4"",""1"",""3"",""4"",""3"",""5"",""6"",""4"",""6"",""7"",""9"",""7"",""3"",""3"",""5"",""4"",""4"",""0"",""3"",""5"",""4"",""5"",""3"",""9"",""6"",""5"",""5"",""4"",""2"",""0"",""6"""
"1,""245"",""Esc. Sta. Clara Abajo"",""Chiriquí"",""Renacimiento"",""Monte Lirio"",""6"",""4"",""7"",""3"",""3"",""4"",""6"",""8"",""7"",""7"",""4"",""2"",""3"",""4"",""3"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""2"",""3"",""2"",""1"",""1"",""1"",""2"",""1"",""2"""
"1,""246"",""C.E.B.G. Caizan Fuertes Caminos"",""Chiriquí"",""Renacimiento"",""Plaza de Caisán"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""3"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""3"",""2"",""2"",""2"",""2"",""3"",""1"",""2"",""3"",""2"",""2"",""1"",""2"""
"1,""247"",""Esc. Caisán Arriba"",""Chiriquí"",""Renacimiento"",""Plaza de Caisán"",""1"",""1"",""4"",""4"",""2"",""1"",""0"",""3"",""2"",""5"",""3"",""5"",""3"",""2"",""1"",""1"",""1"",""2"",""2"",""2"",""1"",""1"",""2"",""3"",""3"",""2"",""3"",""1"",""0"",""0"",""3"""
"1,""248"",""Esc. Altamira"",""Chiriquí"",""Renacimiento"",""Río Sereno"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"1,""249"",""Esc. Piedra Candela"",""Chiriquí"",""Renacimiento"",""Río Sereno"",""2"",""2"",""7"",""6"",""7"",""3"",""1"",""2"",""7"",""8"",""6"",""7"",""5"",""7"",""4"",""5"",""4"",""0"",""3"",""9"",""4"",""4"",""4"",""5"",""8"",""7"",""7"",""6"",""4"",""5"",""6"""
"1,""250"",""Esc. Río Sereno"",""Chiriquí"",""Renacimiento"",""Río Sereno"",""4"",""4"",""4"",""5"",""3"",""4"",""4"",""6"",""5"",""4"",""4"",""3"",""3"",""2"",""2"",""3"",""6"",""2"",""3"",""3"",""4"",""3"",""4"",""5"",""2"",""2"",""3"",""4"",""2"",""2"",""4"""
"1,""251"",""Municipo de Renacimiento"",""Chiriquí"",""Renacimiento"",""Río Sereno"",""3"",""2"",""2"",""2"",""2"",""3"",""2"",""1"",""1"",""1"",""3"",""0"",""1"",""1"",""0"",""1"",""3"",""0"",""2"",""1"",""1"",""0"",""0"",""1"",""1"",""1"",""2"",""1"",""2"",""0"",""1"""
"1,""252"",""Esc. Miraflores."",""Chiriquí"",""Renacimiento"",""Río Sereno"",""3"",""1"",""3"",""3"",""2"",""1"",""2"",""1"",""2"",""2"",""3"",""1"",""3"",""2"",""2"",""3"",""4"",""1"",""5"",""3"",""3"",""2"",""2"",""2"",""2"",""4"",""3"",""4"",""5"",""6"",""3"""
"1,""253"",""Parque Río Sereno"",""Chiriquí"",""Renacimiento"",""Río Sereno"",""5"",""8"",""6"",""6"",""5"",""10"",""5"",""6"",""12"",""2"",""0"",""3"",""6"",""3"",""8"",""8"",""7"",""3"",""5"",""10"",""6"",""12"",""8"",""5"",""6"",""5"",""6"",""5"",""10"",""8"",""5"""
"1,""254"",""Esc. Palmarito"",""Chiriquí"",""Renacimiento"",""Santa Clara"",""3"",""5"",""3"",""2"",""4"",""2"",""4"",""4"",""4"",""2"",""2"",""1"",""1"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""2"",""0"",""1"",""1"",""2"",""2"",""1"",""1"""
"1,""255"",""Esc. Sta. Clara"",""Chiriquí"",""Renacimiento"",""Santa Clara"",""2"",""1"",""2"",""4"",""2"",""1"",""1"",""2"",""4"",""1"",""2"",""1"",""1"",""0"",""1"",""2"",""1"",""0"",""0"",""4"",""1"",""1"",""4"",""1"",""1"",""0"",""0"",""2"",""3"",""0"",""2"""
"1,""256"",""Esc. Las Lajas"",""Chiriquí"",""San Félix"",""Las Lajas"",""0"",""1"",""2"",""1"",""1"",""4"",""1"",""0"",""3"",""2"",""1"",""2"",""2"",""3"",""0"",""2"",""2"",""4"",""2"",""2"",""2"",""2"",""6"",""1"",""2"",""2"",""3"",""4"",""2"",""0"",""3"""
"1,""257"",""Esc. Sec. de Las Lajas"",""Chiriquí"",""San Félix"",""Las Lajas"",""0"",""1"",""5"",""6"",""0"",""3"",""3"",""0"",""0"",""4"",""7"",""7"",""7"",""3"",""1"",""1"",""5"",""2"",""3"",""5"",""3"",""0"",""0"",""3"",""7"",""6"",""4"",""4"",""0"",""0"",""5"""
"1,""258"",""Municipio San Félix"",""Chiriquí"",""San Félix"",""Las Lajas"",""3"",""3"",""4"",""3"",""1"",""3"",""5"",""4"",""3"",""4"",""3"",""4"",""5"",""4"",""0"",""3"",""4"",""6"",""6"",""4"",""2"",""5"",""2"",""6"",""6"",""7"",""6"",""5"",""4"",""4"",""4"""
"1,""259"",""Esc. San Félix"",""Chiriquí"",""San Félix"",""San Félix"",""6"",""2"",""6"",""3"",""1"",""4"",""4"",""4"",""1"",""4"",""4"",""4"",""6"",""6"",""0"",""0"",""2"",""5"",""3"",""5"",""4"",""4"",""2"",""3"",""2"",""5"",""3"",""6"",""6"",""1"",""5"""
"1,""260"",""Hospital MINSA"",""Chiriquí"",""San Félix"",""San Félix"",""2"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""2"",""3"",""3"",""2"",""1"",""0"",""2"",""5"",""4"",""3"",""3"",""3"",""5"",""3"""
"1,""261"",""Esc. Boca del Monte"",""Chiriquí"",""San Lorenzo"",""Boca del Monte"",""3"",""3"",""2"",""4"",""2"",""3"",""2"",""3"",""6"",""7"",""8"",""8"",""7"",""7"",""3"",""4"",""4"",""3"",""3"",""4"",""4"",""3"",""2"",""4"",""3"",""5"",""4"",""5"",""2"",""2"",""2"""
"1,""262"",""Esc. Las Vueltas"",""Chiriquí"",""San Lorenzo"",""Boca del Monte"",""2"",""2"",""2"",""3"",""2"",""3"",""6"",""2"",""2"",""3"",""4"",""3"",""4"",""6"",""3"",""4"",""4"",""4"",""8"",""7"",""5"",""5"",""3"",""5"",""7"",""8"",""6"",""6"",""8"",""6"",""8"""
"1,""263"",""Esc. Sara V. Campbell"",""Chiriquí"",""San Lorenzo"",""Horconcitos"",""4"",""2"",""4"",""6"",""4"",""4"",""5"",""7"",""6"",""8"",""9"",""8"",""3"",""4"",""5"",""3"",""6"",""0"",""0"",""0"",""3"",""3"",""5"",""5"",""5"",""5"",""6"",""6"",""3"",""3"",""6"""
"1,""264"",""Municipio San Lorenzo"",""Chiriquí"",""San Lorenzo"",""Horconcitos"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""2"",""2"",""1"",""2"",""2"",""3"",""3"",""2"",""2"",""0"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""1"",""2"",""2"",""2"",""2"",""3"""
"1,""265"",""Esc. Llano Grande"",""Chiriquí"",""San Lorenzo"",""San Lorenzo"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""1"",""1"",""0"",""1"",""2"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""0"",""1"",""0"",""0"",""1"",""1"",""1"",""0"",""1"""
"1,""266"",""Esc. San Lorenzo"",""Chiriquí"",""San Lorenzo"",""San Lorenzo"",""6"",""8"",""11"",""13"",""11"",""10"",""13"",""9"",""9"",""12"",""15"",""13"",""11"",""14"",""12"",""12"",""14"",""11"",""13"",""18"",""18"",""10"",""11"",""12"",""13"",""14"",""13"",""12"",""12"",""9"",""12"""
"1,""267"",""I.P.T. Abel Tapiero Miranda"",""Chiriquí"",""San Lorenzo"",""San Lorenzo"",""4"",""4"",""6"",""8"",""7"",""7"",""8"",""2"",""6"",""8"",""9"",""9"",""9"",""5"",""1"",""3"",""10"",""7"",""8"",""8"",""7"",""2"",""5"",""7"",""11"",""7"",""9"",""6"",""3"",""3"",""8"""
"1,""268"",""Esc. Comun"",""Chiriquí"",""Tolé"",""Tolé"",""2"",""2"",""3"",""3"",""1"",""2"",""2"",""1"",""0"",""2"",""2"",""1"",""1"",""1"",""0"",""1"",""0"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""1"",""1"",""3"",""2"",""2"",""2"",""1"""
"1,""269"",""Esc. Santiago Bolaños"",""Chiriquí"",""Tolé"",""Tolé"",""1"",""1"",""2"",""2"",""1"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""3"",""2"",""2"",""1"",""1"",""2"""
"1,""270"",""Municipio Tole"",""Chiriquí"",""Tolé"",""Tolé"",""1"",""2"",""2"",""2"",""0"",""2"",""2"",""2"",""1"",""2"",""4"",""3"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""4"",""1"",""1"",""1"",""2"",""4"",""2"",""3"",""2"",""0"",""0"",""0"""
"1,""272"",""Municipio Soloy"",""Comarca Ngäbe-Buglé"",""Besikó"",""Soloy"",""4"",""5"",""5"",""5"",""6"",""3"",""7"",""4"",""5"",""5"",""5"",""7"",""6"",""5"",""3"",""4"",""5"",""5"",""10"",""6"",""5"",""3"",""3"",""4"",""6"",""8"",""7"",""4"",""5"",""3"",""3"""
"1,""276"",""Municipio Kusapín"",""Comarca Ngäbe-Buglé"",""Kusapín"",""Kusapín"",""11"",""16"",""11"",""12"",""14"",""14"",""13"",""12"",""12"",""10"",""8"",""13"",""7"",""8"",""8"",""3"",""8"",""5"",""16"",""5"",""10"",""1"",""0"",""4"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"1,""277"",""COL. Río Chiriquí"",""Comarca Ngäbe-Buglé"",""Kusapín"",""Río Chiriquí"",""21"",""14"",""13"",""12"",""14"",""16"",""16"",""20"",""18"",""15"",""14"",""15"",""13"",""18"",""13"",""18"",""14"",""14"",""9"",""15"",""17"",""20"",""15"",""13"",""8"",""11"",""9"",""15"",""20"",""10"",""4"""
"1,""278"",""Municipio Hato Pilón"",""Comarca Ngäbe-Buglé"",""Mironó"",""Hato Pilón"",""0"",""0"",""3"",""1"",""1"",""1"",""0"",""0"",""0"",""2"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""1"",""4"",""2"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"1,""279"",""C.E.B.G. Alto Caballero"",""Comarca Ngäbe-Buglé"",""Müna"",""Alto Caballero"",""16"",""14"",""21"",""17"",""17"",""18"",""29"",""27"",""26"",""25"",""23"",""23"",""26"",""28"",""19"",""21"",""22"",""19"",""21"",""9"",""29"",""18"",""19"",""25"",""24"",""22"",""20"",""33"",""28"",""28"",""22"""
"1,""280"",""C.E.B.G. Cerro Puerco"",""Comarca Ngäbe-Buglé"",""Müna"",""Cerro Puerco"",""0"",""0"",""2"",""4"",""2"",""1"",""2"",""0"",""0"",""3"",""2"",""1"",""5"",""2"",""0"",""0"",""3"",""4"",""3"",""2"",""2"",""0"",""1"",""4"",""2"",""2"",""4"",""2"",""0"",""0"",""6"""
"1,""282"",""I.P.T.. Chichica"",""Comarca Ngäbe-Buglé"",""Müna"",""Chichica"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"1,""284"",""Escuela Llano Macano"",""Comarca Ngäbe-Buglé"",""Müna"",""Nibra"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"1,""286"",""I.P.T. Sitio Prado"",""Comarca Ngäbe-Buglé"",""Müna"",""Sitio Prado"",""11"",""5"",""7"",""3"",""5"",""2"",""6"",""3"",""7"",""9"",""6"",""4"",""5"",""6"",""6"",""9"",""4"",""7"",""6"",""5"",""8"",""14"",""12"",""8"",""5"",""8"",""7"",""7"",""5"",""7"",""3"""
"1,""287"",""C.E.B.G. Cerro Iglesias"",""Comarca Ngäbe-Buglé"",""Nole Düima"",""Cerro Iglesias"",""3"",""5"",""7"",""6"",""4"",""2"",""1"",""5"",""10"",""6"",""2"",""4"",""5"",""6"",""1"",""7"",""5"",""5"",""2"",""6"",""3"",""5"",""9"",""5"",""4"",""6"",""4"",""3"",""1"",""3"",""3"""
"1,""288"",""Municipio Nole Duima"",""Comarca Ngäbe-Buglé"",""Nole Düima"",""Cerro Iglesias"",""5"",""3"",""4"",""5"",""2"",""1"",""2"",""3"",""5"",""4"",""4"",""5"",""3"",""4"",""1"",""5"",""5"",""4"",""2"",""5"",""4"",""4"",""5"",""4"",""3"",""3"",""4"",""4"",""4"",""2"",""4"""
"1,""290"",""C.E.B.G. Petita Santos"",""Comarca Ngäbe-Buglé"",""Nole Düima"",""Susama"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"1,""292"",""Colegio El Peñón"",""Comarca Ngäbe-Buglé"",""Ñürüm"",""Agua de Salud"",""15"",""15"",""10"",""12"",""9"",""7"",""14"",""15"",""15"",""12"",""10"",""10"",""10"",""13"",""8"",""12"",""12"",""9"",""7"",""8"",""12"",""16"",""10"",""7"",""8"",""10"",""10"",""10"",""15"",""15"",""16"""
"1,""293"",""Municipio Buenos Aires"",""Comarca Ngäbe-Buglé"",""Ñürüm"",""Buenos Aires"",""1"",""0"",""1"",""1"",""1"",""0"",""2"",""3"",""1"",""1"",""1"",""2"",""2"",""2"",""3"",""2"",""2"",""1"",""3"",""3"",""3"",""2"",""5"",""3"",""0"",""2"",""2"",""1"",""0"",""0"",""1"""
"1,""294"",""Centro Educativo Cerro Pelado"",""Comarca Ngäbe-Buglé"",""Ñürüm"",""Cerro Pelado"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"1,""295"",""I.P.T.A. Hermana María Mercedes Pérez"",""Comarca Ngäbe-Buglé"",""Ñürüm"",""El Bale"",""1"",""4"",""11"",""15"",""12"",""9"",""5"",""2"",""2"",""13"",""14"",""13"",""7"",""4"",""1"",""1"",""4"",""14"",""13"",""12"",""9"",""2"",""2"",""8"",""12"",""11"",""12"",""5"",""2"",""2"",""12"""
"1,""297"",""Municipio Atalaya (Cabecera)"",""Veraguas"",""Atalaya"",""Jesús Nazareno de Atalaya"",""3"",""3"",""2"",""3"",""1"",""1"",""4"",""3"",""2"",""2"",""3"",""3"",""2"",""3"",""2"",""4"",""2"",""3"",""3"",""4"",""6"",""7"",""6"",""4"",""5"",""4"",""3"",""4"",""3"",""5"",""5"""
"1,""298"",""PC de Atalaya"",""Veraguas"",""Atalaya"",""Jesús Nazareno de Atalaya"",""1"",""6"",""2"",""3"",""5"",""1"",""3"",""4"",""6"",""2"",""2"",""2"",""2"",""3"",""1"",""0"",""2"",""3"",""3"",""2"",""4"",""2"",""0"",""3"",""4"",""3"",""2"",""4"",""1"",""1"",""0"""
"1,""299"",""Escuela Eligio Tejada Ortega"",""Veraguas"",""Calobre"",""Calobre"",""1"",""1"",""4"",""6"",""6"",""5"",""4"",""3"",""4"",""7"",""7"",""8"",""9"",""5"",""2"",""0"",""2"",""6"",""5"",""5"",""4"",""2"",""1"",""6"",""5"",""6"",""6"",""6"",""0"",""0"",""7"""
"1,""300"",""C.E.B.G. San Miguel"",""Veraguas"",""Calobre"",""Calobre"",""5"",""8"",""8"",""8"",""9"",""6"",""11"",""10"",""10"",""11"",""9"",""11"",""11"",""10"",""9"",""8"",""12"",""13"",""9"",""13"",""12"",""6"",""9"",""12"",""13"",""12"",""14"",""11"",""13"",""11"",""9"""
"1,""301"",""I.P.T. César A. Clavel Méndez"",""Veraguas"",""Cañazas"",""San Francisco Javier de Cañazas"",""0"",""0"",""8"",""10"",""10"",""2"",""4"",""0"",""0"",""8"",""10"",""10"",""9"",""0"",""0"",""0"",""7"",""8"",""9"",""8"",""4"",""1"",""0"",""8"",""9"",""10"",""8"",""4"",""0"",""0"",""10"""
"1,""302"",""Escuela San Pablo (ESC. JOSE David JIMENEZ)"",""Veraguas"",""La Mesa"",""Bisvalles"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""0"",""0"",""2"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""1"",""2"",""0"",""1"",""0"",""1"""
"1,""303"",""Escuela Zodelda Franco"",""Veraguas"",""La Mesa"",""Bisvalles"",""3"",""3"",""1"",""3"",""2"",""0"",""3"",""6"",""3"",""4"",""2"",""5"",""1"",""3"",""3"",""3"",""3"",""4"",""1"",""1"",""3"",""3"",""4"",""2"",""2"",""7"",""1"",""4"",""4"",""1"",""2"""
"1,""304"",""Municipio La Mesa"",""Veraguas"",""La Mesa"",""La Mesa"",""2"",""2"",""1"",""4"",""4"",""1"",""2"",""4"",""6"",""5"",""3"",""4"",""1"",""4"",""5"",""2"",""2"",""4"",""6"",""4"",""4"",""2"",""7"",""4"",""3"",""2"",""2"",""4"",""4"",""4"",""2"""
"1,""305"",""C.E.B.G. Animas de Boro"",""Veraguas"",""La Mesa"",""San Bartolo"",""2"",""5"",""6"",""11"",""10"",""5"",""9"",""6"",""10"",""9"",""8"",""11"",""8"",""14"",""11"",""10"",""5"",""11"",""12"",""11"",""11"",""8"",""13"",""12"",""12"",""11"",""12"",""12"",""6"",""8"",""8"""
"1,""306"",""C.E.B.G. Mercedes A. de Tristán"",""Veraguas"",""La Mesa"",""San Bartolo"",""0"",""1"",""2"",""5"",""3"",""1"",""3"",""4"",""5"",""9"",""6"",""4"",""3"",""2"",""2"",""2"",""2"",""4"",""6"",""4"",""2"",""5"",""8"",""4"",""3"",""9"",""5"",""4"",""6"",""7"",""2"""
"1,""307"",""Escuela El Marañón"",""Veraguas"",""La Mesa"",""San Bartolo"",""0"",""1"",""2"",""1"",""2"",""0"",""2"",""2"",""1"",""4"",""4"",""2"",""0"",""4"",""4"",""4"",""2"",""4"",""4"",""5"",""3"",""2"",""2"",""2"",""3"",""3"",""1"",""1"",""4"",""5"",""5"""
"1,""308"",""Escuela El Rincón"",""Veraguas"",""Las Palmas"",""El Rincón"",""4"",""9"",""8"",""7"",""8"",""4"",""7"",""4"",""5"",""8"",""4"",""5"",""7"",""10"",""5"",""7"",""5"",""9"",""2"",""7"",""4"",""4"",""17"",""12"",""12"",""12"",""9"",""9"",""7"",""5"",""3"""
"1,""309"",""I.P.T. El Rincón"",""Veraguas"",""Las Palmas"",""El Rincón"",""1"",""4"",""21"",""18"",""15"",""6"",""9"",""3"",""2"",""17"",""17"",""18"",""19"",""10"",""3"",""1"",""11"",""20"",""7"",""19"",""8"",""2"",""1"",""10"",""5"",""6"",""4"",""5"",""0"",""0"",""2"""
"1,""311"",""Escuela José A. Ruiz"",""Veraguas"",""Las Palmas"",""Las Palmas"",""1"",""1"",""0"",""0"",""0"",""0"",""4"",""1"",""0"",""0"",""3"",""4"",""7"",""6"",""3"",""1"",""5"",""9"",""5"",""7"",""10"",""0"",""0"",""7"",""5"",""6"",""9"",""8"",""0"",""1"",""2"""
"1,""312"",""I.P.T. Las Palmas"",""Veraguas"",""Las Palmas"",""Las Palmas"",""3"",""1"",""5"",""2"",""6"",""4"",""7"",""5"",""3"",""11"",""10"",""5"",""13"",""4"",""4"",""1"",""6"",""10"",""11"",""11"",""8"",""1"",""1"",""10"",""14"",""12"",""17"",""9"",""2"",""3"",""4"""
